Age,Annual Income,Spending Score,Previous Purchases,Campaign Engagement,Days Since Last Purchase,Gender,Marital Status,Children,Social Media Interaction,Email Click Rate,Online Browsing Time,Loyalty Points,Product Reviews,Customer Tenure,Response
56,39930,51,7,0,206,1,0,3,10,0.7835057166,190,2658,38,7,0
69,33285,36,18,6,318,0,1,3,7,0.4966505918,28,134,20,8,0
46,65863,52,17,3,131,1,0,3,13,0.9933485227,2,34,13,2,0
32,46704,81,14,8,132,1,0,0,1,0.7428917181,88,2986,29,0,1
60,48705,51,3,5,107,0,1,2,3,0.6833104404,62,655,41,18,0
25,30555,3,14,6,171,1,1,3,14,0.8015321882,278,1943,45,14,0
38,51323,14,12,6,39,1,0,0,17,0.7771901997,246,397,16,15,0
56,100968,49,17,7,291,0,1,1,10,0.2196952484,85,1459,32,8,0
36,96922,77,19,3,34,1,1,2,18,0.2103839433,220,1110,10,8,0
40,83915,91,4,2,58,1,1,2,17,0.6060742648,76,3684,41,10,0
28,139543,1,17,2,192,0,0,1,8,0.4360482064,130,1439,47,2,0
28,40619,57,7,9,209,1,1,2,4,0.8715766043,109,4821,36,11,0
41,102390,17,0,7,30,0,1,1,9,0.2901023131,244,2065,7,11,0
53,138500,50,18,2,173,1,0,0,16,0.3308594465,35,3497,3,1,0
57,144337,98,16,7,304,0,0,3,19,0.1663137485,119,4182,38,17,0
41,89274,14,1,1,197,1,0,0,12,0.9817419697,264,4314,41,18,0
20,103173,59,18,4,105,1,0,3,3,0.116046533,32,3041,10,3,0
39,51225,81,15,4,274,0,1,2,13,0.9828999923,290,3720,20,1,1
19,141266,3,17,6,95,1,1,1,7,0.706392664,30,3216,3,8,0
41,56739,98,1,4,169,0,1,1,14,0.08915138798,118,397,46,2,0
61,77708,40,5,8,29,1,1,0,2,0.1520153888,77,4817,42,1,0
47,83019,89,6,2,281,0,1,0,16,0.3269711689,265,370,12,16,0
55,106154,66,5,8,160,0,1,2,14,0.2603460656,161,3528,30,14,0
19,132097,34,5,0,305,1,1,1,0,0.9731283039,50,4766,3,7,0
38,37373,90,8,2,110,0,0,3,4,0.6133420795,294,482,15,18,0
50,65281,95,7,3,211,0,1,2,7,0.07438995006,217,702,39,6,0
29,50187,9,8,5,195,1,1,2,8,0.5254046177,195,1535,48,9,0
39,97863,94,11,9,95,1,0,2,1,0.8971397929,89,784,41,16,1
61,127927,84,17,7,337,0,1,1,4,0.4161818198,129,4355,21,8,1
42,137113,21,5,6,137,0,0,0,3,0.6661305567,11,4008,29,18,0
66,114085,93,3,7,277,0,0,1,11,0.7731925807,31,2815,15,5,0
44,147996,25,6,5,309,1,1,3,18,0.1850290249,50,1083,3,0,0
59,69220,44,17,5,178,0,0,1,1,0.855500741,266,2042,49,13,0
45,37642,25,19,5,336,0,1,3,15,0.4488211603,287,2301,24,4,0
33,109971,9,4,2,233,0,0,3,1,0.05668859733,53,845,38,9,0
32,85556,62,17,9,248,1,0,3,9,0.8789033868,5,1579,41,11,0
64,63760,26,9,3,131,0,1,1,9,0.5643532107,281,4826,44,19,0
68,68192,57,7,5,248,0,1,3,16,0.1983217512,7,22,47,19,0
61,34381,37,0,6,292,1,0,3,11,0.3174500231,293,457,22,10,0
